Ts (degC),I (a.u.),P (W),q (slm)
3.572999999999999687e+01,2.751808244323316188e+01,3.499024631250531314e+00,3.509826053104276866e+00
3.564000000000000057e+01,3.365330653759404811e+01,3.499759329382253981e+00,3.506010330394314423e+00
3.845000000000000284e+01,5.321129600075217070e+01,3.499908030927164404e+00,3.500940429534765030e+00
4.142999999999999972e+01,4.985212218778267612e+01,3.499968930698317937e+00,3.500363892907403240e+00
4.174000000000000199e+01,4.928629891071457081e+01,3.499973497124400534e+00,3.500309619968418051e+00
4.209000000000000341e+01,4.860948250263142967e+01,3.499966927831149821e+00,3.500447482018328671e+00
4.289999999999999858e+01,4.893218078458661324e+01,3.198990123440656141e+00,7.499281824127859153e+00
4.331000000000000227e+01,4.870577214191694537e+01,2.766835251015397290e+00,7.499293417473345436e+00
4.193999999999999773e+01,4.497533023533771512e+01,3.499972101444754902e+00,3.500327024489022776e+00
4.185000000000000142e+01,4.888724249887211926e+01,3.499960003231639583e+00,3.500528536744075048e+00
4.290999999999999659e+01,4.974233381672930676e+01,3.131280488095444348e+00,7.499262192946838823e+00
4.378000000000000114e+01,5.056475125601525633e+01,2.122965819082490491e+00,7.499342828036465569e+00
4.264000000000000057e+01,4.609311096315812506e+01,3.499910766736676671e+00,5.839672354849312796e+00
4.243999999999999773e+01,4.669683860018864863e+01,3.499870725555326523e+00,4.233519700341403791e+00
4.289999999999999858e+01,4.891217536353311601e+01,3.200387923177378191e+00,7.499251093333002771e+00
4.342999999999999972e+01,4.830805353101499122e+01,2.663577276437671504e+00,7.499271419813061001e+00
4.336999999999999744e+01,4.607594128590299221e+01,2.885576952549587126e+00,7.499252445122857935e+00
4.332000000000000028e+01,4.595598513496166504e+01,2.948619933973430030e+00,7.499243305612921517e+00
4.331000000000000227e+01,4.671968222875999999e+01,2.906022694133342021e+00,7.499236245002203205e+00
4.342999999999999972e+01,4.649167955808209740e+01,2.790873685855653541e+00,7.499240471467500946e+00
4.343999999999999773e+01,4.569594422593941374e+01,2.835714362042490055e+00,7.499232826492146842e+00
4.343999999999999773e+01,4.621359927800681078e+01,2.799433664851603165e+00,7.499226852098299645e+00
4.356000000000000227e+01,4.579345340751950744e+01,2.697751002902636142e+00,7.499231022715155959e+00
4.357000000000000028e+01,4.575314938251944596e+01,2.689647418471385443e+00,7.499224900163632412e+00
4.360999999999999943e+01,4.565099854905987797e+01,2.653096375100036486e+00,7.499220789895550077e+00
4.365999999999999659e+01,4.511907115657811573e+01,2.635738758791656977e+00,7.499216196243602361e+00
4.364000000000000057e+01,4.531390474060119544e+01,2.643937308090748672e+00,7.499206154668133451e+00
4.360000000000000142e+01,4.459177309736772088e+01,2.738255431431569686e+00,7.499189482459543754e+00
4.352000000000000313e+01,4.446677863533771102e+01,2.834432737778200817e+00,7.499172071326265510e+00
4.357999999999999829e+01,4.470950204379681736e+01,2.751856558177158352e+00,7.499169711777565084e+00
4.371000000000000085e+01,4.503456057124044065e+01,2.587019319386941518e+00,7.499178433463467464e+00
4.375999999999999801e+01,4.499011010244338848e+01,2.535496955784807493e+00,7.499174758746394609e+00
4.361999999999999744e+01,4.505200372161729661e+01,2.684139403528264189e+00,7.499146952496661633e+00
4.336999999999999744e+01,4.399469258176642228e+01,3.031421936819224783e+00,7.499107278376257568e+00
4.354999999999999716e+01,4.609514106992552485e+01,2.687520012906756683e+00,7.499124890109261088e+00
4.385000000000000142e+01,4.578468255789444896e+01,2.381459346116987064e+00,7.499153222345680270e+00
4.382000000000000028e+01,4.356011915639021481e+01,2.570146446832715093e+00,7.499123889696207357e+00
4.335000000000000142e+01,4.392546199905973481e+01,3.058122890971239016e+00,7.499063422455082062e+00
4.340999999999999659e+01,4.637230730921124433e+01,2.821070761494725243e+00,7.499065965466950701e+00
4.382000000000000028e+01,4.643991676297048343e+01,2.368313568584230921e+00,7.499110106538526388e+00
4.386999999999999744e+01,4.397807724191698497e+01,2.486211821518100162e+00,7.499088907186543196e+00
4.357999999999999829e+01,4.306682538552627904e+01,2.866964531595326715e+00,7.499030117415120600e+00
4.328999999999999915e+01,4.526845646447449667e+01,3.029555122460168448e+00,7.498999991010023791e+00
4.385000000000000142e+01,4.602518615300677141e+01,2.364590981356389232e+00,7.499060097891049104e+00
4.393999999999999773e+01,4.461893563026360710e+01,2.364800198700668599e+00,7.499053026183850612e+00
4.354999999999999716e+01,4.364089227575173169e+01,2.859505752742831586e+00,7.498974545121760649e+00
4.327000000000000313e+01,4.473591067781884334e+01,3.088726319030275835e+00,7.498946623268851752e+00
4.367000000000000171e+01,4.585507848101494233e+01,2.573195590260222598e+00,7.498978278410907805e+00
4.406000000000000227e+01,4.477899624473731421e+01,2.222448647084510842e+00,7.499020785250376520e+00
4.371999999999999886e+01,4.286496280319519059e+01,2.728114721255090913e+00,7.498932748646357282e+00
4.340999999999999659e+01,4.399708978308195384e+01,2.987514054952144615e+00,7.498886747344830184e+00
4.367999999999999972e+01,4.539006330902310538e+01,2.594849734792631590e+00,7.498912190464108285e+00
4.396999999999999886e+01,4.535637437706845532e+01,2.280319381903914699e+00,7.498943330670577723e+00
4.357000000000000028e+01,4.311772587800691525e+01,2.874299482602467481e+00,7.498844871040889259e+00
4.340999999999999659e+01,4.462321018759467961e+01,2.943623079537004195e+00,7.498815763173322324e+00
4.374000000000000199e+01,4.538918622405982006e+01,2.529338250985280645e+00,7.498850739024554457e+00
4.403999999999999915e+01,4.479454479304592240e+01,2.243194679980694772e+00,7.498880969004177999e+00
4.378000000000000114e+01,4.212625277593954110e+01,2.714302989537433319e+00,7.498788021210961219e+00
4.336999999999999744e+01,4.375687444342136700e+01,3.048038722099065012e+00,7.498734077414667354e+00
4.360000000000000142e+01,4.694284368609067570e+01,2.573420343482973216e+00,7.498749381724272745e+00
4.400000000000000000e+01,4.441906373514962780e+01,2.313206861122858005e+00,7.498783459571250809e+00
4.342999999999999972e+01,4.273744795375998251e+01,3.053912294511911263e+00,7.498672499584623452e+00
4.353000000000000114e+01,4.496592128176639136e+01,2.788452364552674645e+00,7.498656449912207478e+00
4.396999999999999886e+01,4.597710415826998798e+01,2.236785751471860539e+00,7.498726107660946383e+00
4.395000000000000284e+01,4.335237813383451311e+01,2.442586043547620545e+00,7.498658527962382081e+00
4.339000000000000057e+01,4.287106544210444525e+01,3.088243713573190163e+00,7.498570699497509651e+00
4.342000000000000171e+01,4.512823127424739766e+01,2.897263030472062351e+00,7.498535255625815132e+00
4.407999999999999829e+01,4.623178647236766636e+01,2.098722072503701241e+00,7.498631492460923198e+00
4.399000000000000199e+01,4.372732456409812585e+01,2.372583352988421712e+00,7.498548270811582483e+00
4.314000000000000057e+01,4.276687464699269725e+01,3.368696107204384838e+00,7.498283613558260008e+00
4.372999999999999687e+01,4.535281922650328568e+01,2.542760110550485564e+00,7.498447381726093042e+00
4.407000000000000028e+01,4.490714919812067762e+01,2.202466265655699473e+00,7.498477888112106804e+00
4.395000000000000284e+01,4.223160891146633844e+01,2.521097618536817020e+00,7.498378282913046533e+00
4.332999999999999829e+01,4.253343454229239740e+01,3.177439451557646954e+00,7.498338863033090718e+00
4.356000000000000227e+01,4.436229219360934906e+01,2.797925256617980416e+00,7.498268222412280082e+00
4.415999999999999659e+01,4.581028801860894362e+01,2.040818192116617080e+00,7.498428977587431987e+00
4.417000000000000171e+01,4.195682262744414714e+01,2.299936203461076634e+00,7.498241661357919696e+00
4.332999999999999829e+01,4.134690119379695972e+01,3.260581375246889291e+00,7.498218191695391610e+00
4.339999999999999858e+01,4.550768877913598232e+01,2.892456095730546739e+00,7.498034434203752596e+00
4.414000000000000057e+01,4.575950332105215068e+01,2.066189105301315276e+00,7.498117365292826797e+00
4.410000000000000142e+01,4.371907848721824763e+01,2.252895890739781137e+00,7.498046393671720544e+00
4.328999999999999915e+01,4.151802391917295409e+01,3.292274125535387341e+00,7.498045548160808593e+00
4.378000000000000114e+01,4.620112791823365939e+01,2.428585546179461652e+00,7.497816455620304410e+00
4.406000000000000227e+01,4.528026015563973772e+01,2.187154157883065331e+00,7.497797241277625702e+00
4.347999999999999687e+01,4.151373211578954425e+01,3.084907005468780827e+00,7.497682131912487336e+00
4.353999999999999915e+01,4.554404099436107600e+01,2.736857976172126339e+00,7.497528117167322037e+00
4.393999999999999773e+01,4.578308606616622001e+01,2.283011645622909036e+00,7.497542575668561859e+00
4.384000000000000341e+01,4.308532054511348974e+01,2.581332145739821282e+00,7.497355263129643177e+00
4.357999999999999829e+01,4.329082943571489750e+01,2.851025485070680432e+00,7.497228434953379761e+00
4.342999999999999972e+01,4.558800364624065793e+01,2.853924480069543357e+00,7.497120390544528945e+00
4.389999999999999858e+01,4.633591813815782956e+01,2.287910864508331699e+00,7.497052720998359732e+00
4.400000000000000000e+01,4.234012600206840204e+01,2.458684845608772651e+00,7.497239848395292228e+00
4.339000000000000057e+01,4.324313178157823501e+01,3.061939852806009110e+00,7.496841573878416654e+00
4.364000000000000057e+01,4.604751732744349368e+01,2.592199873429301693e+00,7.496954269900959034e+00
4.425999999999999801e+01,4.477974521616603454e+01,2.003540320534645591e+00,7.496861875184071877e+00
4.381000000000000227e+01,4.011655055300744266e+01,2.822021079447658565e+00,7.496109169492067181e+00
4.328000000000000114e+01,4.403114334586408063e+01,3.126838198516938672e+00,7.496250430025673595e+00
4.392000000000000171e+01,4.615515486936086376e+01,2.278575135305372701e+00,7.495810252449401467e+00
4.429999999999999716e+01,4.363324981071456676e+01,2.040073813188729268e+00,7.495688054382574350e+00
4.332999999999999829e+01,4.026208013627816484e+01,3.336338412778670381e+00,7.496142394195352665e+00
4.371999999999999886e+01,4.589691740469837811e+01,2.515115807911319834e+00,7.495416457770584628e+00
4.414000000000000057e+01,4.449937121109103089e+01,2.153944357692433531e+00,7.493648312686202573e+00
4.375999999999999801e+01,4.178768073439847797e+01,2.759189541205683049e+00,7.493256127722077053e+00
4.317000000000000171e+01,4.365052050056407751e+01,3.273895599555020297e+00,7.497568390392211235e+00
4.384000000000000341e+01,4.542975633101535493e+01,2.416476857747255291e+00,7.493664171854556244e+00
4.418999999999999773e+01,4.389673007537673755e+01,2.141325420103509902e+00,7.492766270775602422e+00
4.360000000000000142e+01,4.157139798834584354e+01,2.948762912507738143e+00,7.489675349260769721e+00
4.331000000000000227e+01,4.513620880545158087e+01,3.015749796512848135e+00,7.489185071592406651e+00
4.410999999999999943e+01,4.579805563985028982e+01,2.094966047032986278e+00,7.489123319447738680e+00
