Ts (degC),I (a.u.),P (W),q (slm)
3.768999999999999773e+01,3.170092033872183279e+01,3.499480121789711351e+00,3.503883258466415462e+00
4.064999999999999858e+01,4.584342261315806866e+01,3.499966209436601972e+00,3.500359015743165436e+00
4.328999999999999915e+01,4.831884955996196140e+01,2.815808361886256606e+00,7.499298703525836274e+00
4.327000000000000313e+01,4.996017856240612076e+01,2.722630404602078169e+00,7.499298112781433545e+00
4.171999999999999886e+01,4.593319570826997733e+01,3.499970945131795297e+00,3.500325757649000558e+00
4.163000000000000256e+01,4.907117657763086527e+01,3.499977585803440761e+00,3.500350948252554328e+00
4.264999999999999858e+01,4.935622179924737196e+01,3.442470710443239490e+00,7.499406848734257558e+00
4.378999999999999915e+01,4.756652007857157116e+01,2.322168583414563336e+00,7.499334106521173382e+00
4.306000000000000227e+01,4.604179410169206221e+01,3.226722929207280544e+00,7.499272920486124150e+00
4.257000000000000028e+01,4.629609453890973469e+01,3.499897962870027079e+00,5.272236021566336639e+00
4.289999999999999858e+01,4.687832866691734779e+01,3.342937304214632199e+00,7.499310176313070286e+00
4.328000000000000114e+01,4.661001458007508091e+01,2.946493786966283945e+00,7.499256273155852526e+00
4.340999999999999659e+01,4.571209392236770697e+01,2.867368380574418119e+00,7.499258501568514035e+00
4.339000000000000057e+01,4.608516299661730642e+01,2.863075717152596233e+00,7.499251670491224431e+00
4.339999999999999858e+01,4.583705635601509698e+01,2.869536020718939096e+00,7.499245545779350763e+00
4.342999999999999972e+01,4.584118309003745395e+01,2.836464002539516915e+00,7.499241917183669059e+00
4.343999999999999773e+01,4.647154109605236982e+01,2.781357406428730528e+00,7.499238639140512142e+00
4.352000000000000313e+01,4.554234595376007633e+01,2.759060381676999629e+00,7.499236424953082292e+00
4.367000000000000171e+01,4.593330903947434507e+01,2.567749785347363645e+00,7.499248257685283470e+00
4.372999999999999687e+01,4.468527380357178203e+01,2.589652926441762038e+00,7.499241425933086624e+00
4.360000000000000142e+01,4.410244345488651874e+01,2.772553724741848580e+00,7.499215423413547299e+00
4.335999999999999943e+01,4.520416318026347113e+01,2.957594427014796246e+00,7.499190265699972713e+00
4.353000000000000114e+01,4.514348663966264041e+01,2.776081519708464729e+00,7.499196270503361461e+00
4.384000000000000341e+01,4.555085564887212257e+01,2.408784906793627556e+00,7.499228307754224332e+00
4.392000000000000171e+01,4.448784345676634899e+01,2.395866040124897900e+00,7.499223061426888215e+00
4.357999999999999829e+01,4.326820015093945671e+01,2.852869769849511350e+00,7.499165731601153517e+00
4.334000000000000341e+01,4.476552461390932791e+01,3.010184676353512501e+00,7.499137311272639828e+00
4.381000000000000227e+01,4.645930871729248679e+01,2.377893205029936841e+00,7.499192283110460266e+00
4.389000000000000057e+01,4.388370684191654902e+01,2.470983111413465494e+00,7.499177772082903815e+00
4.357999999999999829e+01,4.382440259436074115e+01,2.813883095004403589e+00,7.499128133076274239e+00
4.327000000000000313e+01,4.454557092236778715e+01,3.102086477412461019e+00,7.499095306008715767e+00
4.340999999999999659e+01,4.574301855845798315e+01,2.865179107321303320e+00,7.499099415246003986e+00
4.406000000000000227e+01,4.614670183984996044e+01,2.126614597959945563e+00,7.499179213170950042e+00
4.396999999999999886e+01,4.206357569323357382e+01,2.511120534457436104e+00,7.499125298845448206e+00
4.335000000000000142e+01,4.310572016165327369e+01,3.115573371860474339e+00,7.499054178440527352e+00
4.361999999999999744e+01,4.571805612913595951e+01,2.637449111135294011e+00,7.499074489513837705e+00
4.403000000000000114e+01,4.510838845883473169e+01,2.232159046781325706e+00,7.499119732861830201e+00
4.377000000000000313e+01,4.166566244830826804e+01,2.757546217963052548e+00,7.499046562375319525e+00
4.334000000000000341e+01,4.392983510526329383e+01,3.068735238434547430e+00,7.498999992949278770e+00
4.368999999999999773e+01,4.495823939718052031e+01,2.614202636428208049e+00,7.499029194714076141e+00
4.411999999999999744e+01,4.564644559116618439e+01,2.096098206650197859e+00,7.499089870002994651e+00
4.379999999999999716e+01,4.128978965864664019e+01,2.751099438635801420e+00,7.498991307045054455e+00
4.315999999999999659e+01,4.395023964924730819e+01,3.263994289365037105e+00,7.498969538283114744e+00
4.364000000000000057e+01,4.571109118759470391e+01,2.616067640728659160e+00,7.498966775181779454e+00
4.396000000000000085e+01,4.568061987631529774e+01,2.268530106640235022e+00,7.499002421951813879e+00
4.371000000000000085e+01,4.286070302819477007e+01,2.739339643855859929e+00,7.498925064683508168e+00
4.328000000000000114e+01,4.429713167932329299e+01,3.108541642977245445e+00,7.498880920812194262e+00
4.363000000000000256e+01,4.575588657744411591e+01,2.623846579878847507e+00,7.498900561479549864e+00
4.415999999999999659e+01,4.571371505131529034e+01,2.047659297910390030e+00,7.498983619587521687e+00
4.371000000000000085e+01,4.047714826748118355e+01,2.906380484216806614e+00,7.498843039442913749e+00
4.306000000000000227e+01,4.425442306184138630e+01,3.351939196167887491e+00,7.498904790554469457e+00
4.378000000000000114e+01,4.604036021560089864e+01,2.439991403879676835e+00,7.498854458528074751e+00
4.400999999999999801e+01,4.480509937725624781e+01,2.275235536826065719e+00,7.498867787150556019e+00
4.352000000000000313e+01,4.310255674285775740e+01,2.929987526487570548e+00,7.498753551626387903e+00
4.315999999999999659e+01,4.460415822688037935e+01,3.218135899259855215e+00,7.498757395121769420e+00
4.367000000000000171e+01,4.553251816748050373e+01,2.595771362901424073e+00,7.498751432016304008e+00
4.382000000000000028e+01,4.447870058514948965e+01,2.505716332504361432e+00,7.498748086313613115e+00
4.371999999999999886e+01,4.330825041259456754e+01,2.697014484226042175e+00,7.498695080686813341e+00
4.360999999999999943e+01,4.374644797274366681e+01,2.786499624459893631e+00,7.498653686099176596e+00
