Ts (degC),I (a.u.),P (W),q (slm)
3.396999999999999886e+01,2.921924046597747804e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.707000000000000028e+01,4.446989524342142630e+01,3.463314831888978595e+00,3.582729723534218813e+00
3.982999999999999829e+01,4.967308352424763740e+01,3.499187218669404409e+00,3.500000000000000000e+00
4.027000000000000313e+01,4.681375698214345249e+01,3.485515197212150085e+00,3.527977043339126872e+00
4.064999999999999858e+01,4.923902008928618557e+01,3.486117452907815384e+00,3.526491702308903964e+00
4.139999999999999858e+01,4.925742162744384700e+01,3.492609698640718463e+00,3.510479900287315047e+00
4.213000000000000256e+01,5.000159126221791439e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.263000000000000256e+01,4.967750590488655149e+01,3.500000000000000000e+00,7.333438070546979048e+00
4.299000000000000199e+01,5.031779763721804244e+01,2.917725142877528377e+00,7.500000000000000000e+00
4.189000000000000057e+01,4.800419532969858949e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.189000000000000057e+01,5.018692966240636366e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.295000000000000284e+01,4.964343263233136128e+01,3.026603665116859077e+00,7.490714480312083978e+00
4.392999999999999972e+01,4.907693675921105836e+01,2.065445639786760879e+00,7.500000000000000000e+00
4.342000000000000171e+01,4.574852744041270114e+01,2.866795733352629938e+00,7.500000000000000000e+00
4.260000000000000142e+01,4.566320875432372617e+01,3.460469243113944771e+00,5.165882533045575542e+00
4.350999999999999801e+01,5.062452114699230066e+01,2.375475130709885363e+00,7.500000000000000000e+00
4.360000000000000142e+01,4.736950117330886201e+01,2.559669261302275789e+00,7.500000000000000000e+00
4.356000000000000227e+01,4.598712657857198849e+01,2.696745673179889558e+00,7.500000000000000000e+00
4.353999999999999915e+01,4.564990712030100894e+01,2.741359960112576655e+00,7.500000000000000000e+00
4.357000000000000028e+01,4.571722092744365540e+01,2.703807455227693168e+00,7.500000000000000000e+00
4.368999999999999773e+01,4.629215012030088872e+01,2.533230647507723088e+00,7.500000000000000000e+00
4.378999999999999915e+01,4.558913449454931310e+01,2.470816991488829828e+00,7.500000000000000000e+00
4.378999999999999915e+01,4.490588038139011928e+01,2.516814659177290192e+00,7.500000000000000000e+00
4.375000000000000000e+01,4.516036559774371995e+01,2.543445381468147026e+00,7.500000000000000000e+00
