Ts (degC),I (a.u.),P (W),q (slm)
3.267000000000000171e+01,3.325558053552622795e+01,3.495514492640026560e+00,3.507849604413212585e+00
3.597999999999999687e+01,4.431129807969840328e+01,3.499510155901946806e+00,3.504646377076951147e+00
3.915999999999999659e+01,5.352926886428598152e+01,3.499944344726555912e+00,3.500621561158724582e+00
3.939999999999999858e+01,4.769589750169200215e+01,3.499937730005751924e+00,3.500671561536076837e+00
4.028000000000000114e+01,5.026179970432357180e+01,3.499960115892251533e+00,3.500384196720310204e+00
4.071999999999999886e+01,4.932894347142885039e+01,3.499951276329321459e+00,3.500554271804234396e+00
4.150999999999999801e+01,4.976161243985012561e+01,3.499970182124395368e+00,3.500349030344936274e+00
4.189999999999999858e+01,4.793877366090268310e+01,3.499960973561985433e+00,3.500512939911413213e+00
4.235999999999999943e+01,4.924813339624048325e+01,3.499903065018927784e+00,5.066524008987430605e+00
4.270000000000000284e+01,5.003388326390931695e+01,3.340330226352026699e+00,7.499321337278978206e+00
4.203000000000000114e+01,4.603942153759443556e+01,3.499922737563397668e+00,3.501144479000640075e+00
4.150000000000000000e+01,4.859507465751955380e+01,3.499968324319485458e+00,3.500373251437507438e+00
4.245000000000000284e+01,4.910074863045174709e+01,3.499913243864108736e+00,5.868569516720157253e+00
4.336999999999999744e+01,5.033338067763163082e+01,2.587200158003445605e+00,7.499298306208137532e+00
4.314999999999999858e+01,4.814291518590295738e+01,2.981117918297566227e+00,7.499263573420433815e+00
4.235000000000000142e+01,4.609621032518865036e+01,3.499970538224973282e+00,3.500377129417028499e+00
4.232999999999999829e+01,4.829341902349666782e+01,3.499854960943473259e+00,4.157731945167458143e+00
4.297999999999999687e+01,4.817616803909778866e+01,3.164551896483664528e+00,7.499252235877222006e+00
4.377000000000000313e+01,4.803289276127866003e+01,2.311334860629626675e+00,7.499313860762458539e+00
4.311999999999999744e+01,4.488131461127868960e+01,3.242488585212455199e+00,7.499258562323599442e+00
4.272999999999999687e+01,4.503075412105213360e+01,3.499913453695721710e+00,6.057386592801812242e+00
4.281000000000000227e+01,4.685193974266936578e+01,3.443148457520817551e+00,7.499447896255211354e+00
4.329999999999999716e+01,4.631815716766932667e+01,2.945090739676431646e+00,7.499234067288649719e+00
4.317999999999999972e+01,4.613644290225619216e+01,3.088953827195314084e+00,7.499223756945246677e+00
4.310000000000000142e+01,4.574145409511341143e+01,3.204056183510174627e+00,7.499226585560473168e+00
4.314000000000000057e+01,4.598836090319507264e+01,3.143040550118795462e+00,7.499214811974144190e+00
4.310999999999999943e+01,4.464958432951104328e+01,3.269653549235472134e+00,7.499236660490107731e+00
4.304999999999999716e+01,4.565159969718020960e+01,3.264990237739824330e+00,7.499224647334274962e+00
4.307999999999999829e+01,4.652764496898422664e+01,3.170807164032499514e+00,7.499199620245914133e+00
4.315999999999999659e+01,4.587851833026356729e+01,3.128882385773556596e+00,7.499186477216621682e+00
4.325999999999999801e+01,4.562943605582754714e+01,3.037063710437826636e+00,7.499183589665307181e+00
4.327000000000000313e+01,4.501202737161713685e+01,3.069405846685677730e+00,7.499181006888482770e+00
4.322999999999999687e+01,4.602038928665343320e+01,3.042444355774987397e+00,7.499168660434140321e+00
4.340999999999999659e+01,4.534856437894824666e+01,2.892834855150623774e+00,7.499174820522675589e+00
4.356000000000000227e+01,4.577656705826992578e+01,2.698928040698132413e+00,7.499184202830174506e+00
4.367000000000000171e+01,4.544369360526349766e+01,2.602056150125002798e+00,7.499187269619497442e+00
4.364999999999999858e+01,4.441860301917217413e+01,2.695752354634259440e+00,7.499170913372907421e+00
4.359000000000000341e+01,4.423481676372102100e+01,2.774195303064654006e+00,7.499153989052191882e+00
