Ts (degC),I (a.u.),P (W),q (slm)
3.471000000000000085e+01,2.799143484981193453e+01,3.498234995121850766e+00,3.517859656217646958e+00
3.502000000000000313e+01,3.339358344868414719e+01,3.498292518367727588e+00,3.508604479863588033e+00
3.802000000000000313e+01,5.417704784718005584e+01,3.499887256575123562e+00,3.501148922952589615e+00
4.040999999999999659e+01,5.352249609304556799e+01,3.499973393473212457e+00,3.500278823758947055e+00
4.071999999999999886e+01,5.011643765413551677e+01,3.499946401962728881e+00,3.500619033260644386e+00
4.125999999999999801e+01,4.843049311353306052e+01,3.499962821890655995e+00,3.500421265537050353e+00
4.174000000000000199e+01,4.853473318308213891e+01,3.499972996786760326e+00,3.500315080825146197e+00
4.225999999999999801e+01,4.901122190751952701e+01,3.499846088209461747e+00,3.918980950973931954e+00
4.296999999999999886e+01,5.003810115563955918e+01,3.044988642314214289e+00,7.499273043607877831e+00
4.310000000000000142e+01,4.822302556409770347e+01,3.030142733725216697e+00,7.499271822442237223e+00
4.310000000000000142e+01,4.631287248439905824e+01,3.164015178692840990e+00,7.499275319149052876e+00
4.185999999999999943e+01,4.545137302612698704e+01,3.499971096872521947e+00,3.500338165194026185e+00
4.235000000000000142e+01,4.876374351597777945e+01,3.499885085895920511e+00,4.657479431338707343e+00
4.300000000000000000e+01,4.811786652631509753e+01,3.146784282503053642e+00,7.499260416528249706e+00
4.378999999999999915e+01,4.881876088759459265e+01,2.234404435622849405e+00,7.499329167105453386e+00
4.359000000000000341e+01,4.486982874022471179e+01,2.729707627348588073e+00,7.499278886103912356e+00
4.321000000000000085e+01,4.518694176484984126e+01,3.122720744318310704e+00,7.499248225680361202e+00
4.313000000000000256e+01,4.549008302312051910e+01,3.188894134076186937e+00,7.499246655503801762e+00
4.343999999999999773e+01,4.527658428270709834e+01,2.865107363841882027e+00,7.499248050285826750e+00
4.346999999999999886e+01,4.617052110225620964e+01,2.769673331625539525e+00,7.499247384443977538e+00
4.345000000000000284e+01,4.573673853157813340e+01,2.821928527969939982e+00,7.499237684159062667e+00
4.371000000000000085e+01,4.659925550695490415e+01,2.477369254912014540e+00,7.499263984766669999e+00
4.365999999999999659e+01,4.498448049812066785e+01,2.645175081702684228e+00,7.499241754213641364e+00
4.352000000000000313e+01,4.546577594379627385e+01,2.764424564905934023e+00,7.499220395109113646e+00
4.345000000000000284e+01,4.526022516992565414e+01,2.855320530443477889e+00,7.499205142548140302e+00
4.354999999999999716e+01,4.632420560469839899e+01,2.671477970819498005e+00,7.499211901256661150e+00
4.375999999999999801e+01,4.613944371541266776e+01,2.454953256234564396e+00,7.499229251522697481e+00
4.378000000000000114e+01,4.415713807894800169e+01,2.572026126780281086e+00,7.499211785030351685e+00
4.347999999999999687e+01,4.396471894229260613e+01,2.913328982699446179e+00,7.499169392998025430e+00
4.340999999999999659e+01,4.555924462161733146e+01,2.878067040710614144e+00,7.499158304589089497e+00
4.367999999999999972e+01,4.606449483439898529e+01,2.547619277830303730e+00,7.499183704818432439e+00
4.392000000000000171e+01,4.517237377781871288e+01,2.347887595989298415e+00,7.499200950053362291e+00
4.360000000000000142e+01,4.288153379605201110e+01,2.858110738986540333e+00,7.499138716944504068e+00
4.335999999999999943e+01,4.463530213421126547e+01,2.997452675477846995e+00,7.499109588167928386e+00
4.364000000000000057e+01,4.639727220225611148e+01,2.568000392187282266e+00,7.499140864767076309e+00
4.382999999999999829e+01,4.612372024285777883e+01,2.379552949461606559e+00,7.499154895003233179e+00
4.375000000000000000e+01,4.327425597913580191e+01,2.666672171686946147e+00,7.499116064757167521e+00
4.346999999999999886e+01,4.313031056898401516e+01,2.982722931497634011e+00,7.499071800943379884e+00
4.359000000000000341e+01,4.588072582500060292e+01,2.658832441502540167e+00,7.499087339673293329e+00
4.382000000000000028e+01,4.519052648007468775e+01,2.455876369790462643e+00,7.499103686374496647e+00
4.377000000000000313e+01,4.313637378834568636e+01,2.654474732463330433e+00,7.499071867081426923e+00
4.361999999999999744e+01,4.341458710939931365e+01,2.798883597580278160e+00,7.499042623085604653e+00
4.364000000000000057e+01,4.462869935977398939e+01,2.691936823821392988e+00,7.499037246329319117e+00
4.389000000000000057e+01,4.502915023815804574e+01,2.390688670129687665e+00,7.499062020394182682e+00
4.382000000000000028e+01,4.320437743759453753e+01,2.595065123811096885e+00,7.499025179647807349e+00
4.365999999999999659e+01,4.322391475150352846e+01,2.768529961770986425e+00,7.498989973468248138e+00
4.363000000000000256e+01,4.473898540263115819e+01,2.695126793997419945e+00,7.498978353376054784e+00
4.386999999999999744e+01,4.562770898684148335e+01,2.370585623086159277e+00,7.499004622197294800e+00
4.371000000000000085e+01,4.379090583270700421e+01,2.674150058031109278e+00,7.498952469751317018e+00
4.353999999999999915e+01,4.391791808289436005e+01,2.851009196521998135e+00,7.498911345949784035e+00
4.363000000000000256e+01,4.562598930902332484e+01,2.632953094929754378e+00,7.498920174329617439e+00
4.388000000000000256e+01,4.513028848195478560e+01,2.394511087643247382e+00,7.498939547102855485e+00
4.381000000000000227e+01,4.315757904191676175e+01,2.609254842195373847e+00,7.498896270929224173e+00
4.350000000000000000e+01,4.309535528402323479e+01,2.952358229439531634e+00,7.498835830218963494e+00
4.354999999999999716e+01,4.466048629849692020e+01,2.788027714819778957e+00,7.498830529349410412e+00
4.393999999999999773e+01,4.505022245075201681e+01,2.334549616794769467e+00,7.498878658519826601e+00
4.417000000000000171e+01,4.337516263308245357e+01,2.200616501527236757e+00,7.498887429622820733e+00
4.363000000000000256e+01,4.093207203496237412e+01,2.961905053042311664e+00,7.498757839216089849e+00
4.345000000000000284e+01,4.451893069849688089e+01,2.907210128773394686e+00,7.498727441003922856e+00
4.386999999999999744e+01,4.583952993270733600e+01,2.355709987090158553e+00,7.498783905846412523e+00
4.395000000000000284e+01,4.435293251447452434e+01,2.372475703368108313e+00,7.498759860452981485e+00
4.347999999999999687e+01,4.343435847688019891e+01,2.950429537054118256e+00,7.498654601761389316e+00
4.357999999999999829e+01,4.429832658439926263e+01,2.780602232493892600e+00,7.498645035169101192e+00
4.384000000000000341e+01,4.603562001484984734e+01,2.374740692710150203e+00,7.498705462169570346e+00
4.385000000000000142e+01,4.282294156409756880e+01,2.588961100260208426e+00,7.498622612228658113e+00
4.346999999999999886e+01,4.399984422405950113e+01,2.921710038021974043e+00,7.498545914861385775e+00
4.370000000000000284e+01,4.523899035169176130e+01,2.583534789513643126e+00,7.498556776021785275e+00
4.374000000000000199e+01,4.475139516936059181e+01,2.573994344061388162e+00,7.498529426497889894e+00
4.372999999999999687e+01,4.312297360545165503e+01,2.699043211079348303e+00,7.498481709532049955e+00
4.368999999999999773e+01,4.427286648326997209e+01,2.662158946386274039e+00,7.498450800479341538e+00
4.385999999999999943e+01,4.491540020244384834e+01,2.431360444703209112e+00,7.498450658035520355e+00
4.372999999999999687e+01,4.453180364492553878e+01,2.600292278867649465e+00,7.498382397434596669e+00
4.364000000000000057e+01,4.349393866127864072e+01,2.771369401196972060e+00,7.498320039360065969e+00
4.367999999999999972e+01,4.437155086014973193e+01,2.666149042762395283e+00,7.498294416367356163e+00
4.385000000000000142e+01,4.494328706954915731e+01,2.440311555411120548e+00,7.498286932629072865e+00
4.385000000000000142e+01,4.332136973120229584e+01,2.553975295686656821e+00,7.498223756264007278e+00
4.350000000000000000e+01,4.376546297763100313e+01,2.905298619733708954e+00,7.498129232154711943e+00
4.342000000000000171e+01,4.561733671804583423e+01,2.862923543654670500e+00,7.498079635842904267e+00
4.400999999999999801e+01,4.611524996729239234e+01,2.183316147898413107e+00,7.498125052799133883e+00
4.414999999999999858e+01,4.320495641221808825e+01,2.234308006595344676e+00,7.498163154769875938e+00
4.339999999999999858e+01,4.125939965018795164e+01,3.190195229920000930e+00,7.498016996553385383e+00
4.360000000000000142e+01,4.536321366879673178e+01,2.684009056782180824e+00,7.497852141157169470e+00
4.414000000000000057e+01,4.514296433063984892e+01,2.109370360592248250e+00,7.497895319690895732e+00
4.411999999999999744e+01,4.173993873327064819e+01,2.369716011508659292e+00,7.497786941416653583e+00
4.309000000000000341e+01,4.114612264906015326e+01,3.499717105348288282e+00,7.159936995207370813e+00
4.363000000000000256e+01,4.767074290206819853e+01,2.489461452907349770e+00,7.497536197790774182e+00
4.427000000000000313e+01,4.431030273609093939e+01,2.025647663590251835e+00,7.497836859930096409e+00
4.375000000000000000e+01,3.957610853796995798e+01,2.925619703424317208e+00,7.497333523835699509e+00
4.332999999999999829e+01,4.436595328421117301e+01,3.048865692054131937e+00,7.497254848859220999e+00
4.397999999999999687e+01,4.605475081466230591e+01,2.220210225151247663e+00,7.497157334170127641e+00
4.417999999999999972e+01,4.407854288966219514e+01,2.140219377106412857e+00,7.497589100495580361e+00
4.339999999999999858e+01,4.073256969812034356e+01,3.227007802037940465e+00,7.497188013339116885e+00
4.328000000000000114e+01,4.626460324680511604e+01,2.970363163333658907e+00,7.496682616992845993e+00
4.390999999999999659e+01,4.571993102142881327e+01,2.320123072606270043e+00,7.496997417706212197e+00
4.402000000000000313e+01,4.467436690714344394e+01,2.273216205989316396e+00,7.496915280590380704e+00
4.361999999999999744e+01,4.246303122800657093e+01,2.865183057277863377e+00,7.496062220947861121e+00
4.328000000000000114e+01,4.403077871503749208e+01,3.126858749190552178e+00,7.496209398145255776e+00
4.392000000000000171e+01,4.663738899304580343e+01,2.244784709264557865e+00,7.495852847230930038e+00
4.410000000000000142e+01,4.312234042894831276e+01,2.294410504221004121e+00,7.495592566971502002e+00
4.342999999999999972e+01,4.217094715319473863e+01,3.093183627222089171e+00,7.495323183098857811e+00
4.342999999999999972e+01,4.514908421560080143e+01,2.884405590726562885e+00,7.494739593038996617e+00
4.402000000000000313e+01,4.621473012631529542e+01,2.164859555742986608e+00,7.493713262145208276e+00
4.403999999999999915e+01,4.387667537988667732e+01,2.306720584399060581e+00,7.492683246425434263e+00
4.335000000000000142e+01,4.272620106372103521e+01,3.141663880202370862e+00,7.495068804327150502e+00
4.325000000000000000e+01,4.549027519342147485e+01,3.056921446862491454e+00,7.492675345675505305e+00
4.414999999999999858e+01,4.606486192894796972e+01,2.032823763205318990e+00,7.489590387538456184e+00
4.407999999999999829e+01,4.306732059360874132e+01,2.319516827322214869e+00,7.491767997719259498e+00
4.310999999999999943e+01,4.181203955187982046e+01,3.466181847340425115e+00,7.479751602731601778e+00
4.360000000000000142e+01,4.679869625075180295e+01,2.582259977677352492e+00,7.489906865335630215e+00
4.397999999999999687e+01,4.483799499078887862e+01,2.304083009474769295e+00,7.487512056190205101e+00
4.374000000000000199e+01,4.326065623477393984e+01,2.676476756306035654e+00,7.484535684272544565e+00
4.338000000000000256e+01,4.348469231334520657e+01,3.051576143999473967e+00,7.460908468859665632e+00
4.353999999999999915e+01,4.593570870451049615e+01,2.706436567210413369e+00,7.476832361209187816e+00
4.400000000000000000e+01,4.527562096748074794e+01,2.246367220788097363e+00,7.453226092848332485e+00
4.377000000000000313e+01,4.341678721297047616e+01,2.613918219432448620e+00,7.368458494786287005e+00
4.332000000000000028e+01,4.356591629379636288e+01,3.032339004551773520e+00,6.916054681648017066e+00
4.364999999999999858e+01,4.591200030958660960e+01,1.702202072101543839e+00,6.305484243880179918e+00
4.357999999999999829e+01,3.968123061992481126e+01,1.539748347990221200e+00,7.195539044239231075e+00
4.221000000000000085e+01,3.583848980977449372e+01,3.483585101948955653e+00,6.135563440823288417e+00
4.328000000000000114e+01,4.788309108439877804e+01,1.507495351935803418e+00,7.420594783637254999e+00
4.342999999999999972e+01,3.805760592236846662e+01,1.507716338880017659e+00,7.441573922068496216e+00
4.170000000000000284e+01,3.542978299962400257e+01,1.550249826092835903e+00,7.157545413087466279e+00
