Ts (degC),I (a.u.),P (W),q (slm)
3.213000000000000256e+01,2.761724970958638536e+01,3.492840629116862772e+00,3.534017130899508086e+00
3.478000000000000114e+01,4.427334937274357429e+01,3.499048604993209466e+00,3.508975778534461298e+00
3.818999999999999773e+01,5.307005329342155164e+01,3.499893319118538404e+00,3.501089447857827608e+00
3.846000000000000085e+01,4.869932458195496139e+01,3.499895664342931312e+00,3.501079549761554333e+00
3.939000000000000057e+01,5.076681339981177388e+01,3.499925434054283357e+00,3.500907428788226472e+00
3.996000000000000085e+01,5.021999280902317508e+01,3.499957421630132792e+00,3.500453226559160136e+00
4.067000000000000171e+01,4.860573764548858122e+01,3.499973216564121969e+00,3.500297214374503696e+00
4.102000000000000313e+01,4.850072643101515979e+01,3.499959429412984768e+00,3.500485948031088146e+00
4.138000000000000256e+01,4.847848395056429638e+01,3.499966313646319716e+00,3.500395966064439257e+00
4.202000000000000313e+01,4.837731121466233475e+01,3.499964094943709192e+00,3.500493177148508828e+00
4.246999999999999886e+01,4.929416064699263700e+01,3.499918513581273594e+00,6.191236812585171556e+00
4.293999999999999773e+01,4.877446809699274866e+01,3.166332895240776324e+00,7.499275268995681643e+00
4.170000000000000284e+01,4.703743582105254006e+01,3.499970129788307460e+00,3.500350080350389526e+00
4.146000000000000085e+01,4.819875790432313067e+01,3.499967500860350800e+00,3.500378394766623380e+00
4.210999999999999943e+01,4.880370261992560899e+01,3.499967316918183080e+00,3.500439416742582743e+00
4.353999999999999915e+01,4.914213422932338204e+01,2.484924243064226435e+00,7.499311648975178102e+00
4.392999999999999972e+01,4.733339779398414038e+01,2.185524058388705448e+00,7.499342576142643324e+00
4.257999999999999829e+01,4.512060851898404934e+01,3.499882388687787227e+00,4.621018062608128751e+00
4.225000000000000000e+01,4.778220660394791253e+01,3.499970848530121970e+00,3.500353612744970810e+00
4.290999999999999659e+01,4.899990849699272388e+01,3.183311063660090312e+00,7.499245985265182490e+00
4.385999999999999943e+01,4.895585715112697045e+01,2.148303332026620716e+00,7.499324448213412708e+00
4.311999999999999744e+01,4.460446126466234773e+01,3.261891783545842305e+00,7.499258713267646925e+00
4.247999999999999687e+01,4.553175195000036979e+01,3.499813606938841026e+00,3.887214678093293241e+00
4.277000000000000313e+01,4.893691605789440757e+01,3.340713481891421477e+00,7.499280959739596852e+00
4.321000000000000085e+01,4.821820898797048471e+01,2.910271180568072769e+00,7.499225893832779377e+00
4.345000000000000284e+01,4.648340391654193127e+01,2.769598313874289452e+00,7.499236812445323253e+00
4.335000000000000142e+01,4.595405850451074770e+01,2.915969456594679432e+00,7.499219657964724561e+00
4.328999999999999915e+01,4.637907515300691585e+01,2.951745533312917669e+00,7.499211565818420411e+00
4.331000000000000227e+01,4.525458078326977329e+01,3.008699805619284184e+00,7.499202740144653490e+00
4.336999999999999744e+01,4.548950404849700391e+01,2.926670248899092552e+00,7.499199851713176379e+00
4.347999999999999687e+01,4.572648205770716601e+01,2.789860393104986347e+00,7.499203581537196683e+00
4.354999999999999716e+01,4.653428716297030121e+01,2.656753763681436453e+00,7.499207434246061510e+00
4.364000000000000057e+01,4.566476582650349769e+01,2.619347189403425702e+00,7.499206298913680513e+00
4.347999999999999687e+01,4.540143092142928083e+01,2.812638164505012028e+00,7.499178586478537412e+00
4.336999999999999744e+01,4.591305724624082529e+01,2.896980236586330193e+00,7.499162036981504187e+00
4.361999999999999744e+01,4.558484022744369213e+01,2.646799842815007242e+00,7.499178493273923607e+00
4.367999999999999972e+01,4.499996991710454353e+01,2.622225348040490456e+00,7.499174277955571455e+00
4.343999999999999773e+01,4.413908638928592865e+01,2.944813681498367863e+00,7.499137062292465572e+00
4.346000000000000085e+01,4.567352189379629834e+01,2.815417253915100559e+00,7.499132857382477368e+00
4.361999999999999744e+01,4.541018206127871792e+01,2.659035720223015264e+00,7.499141773686668344e+00
4.375000000000000000e+01,4.574012614905954877e+01,2.493856046533369675e+00,7.499150232983206266e+00
4.367000000000000171e+01,4.402907628327005796e+01,2.701190502473663990e+00,7.499119887027644538e+00
4.335999999999999943e+01,4.477415749511349219e+01,2.987716262716779259e+00,7.499077305304766128e+00
4.339999999999999858e+01,4.526728866033791832e+01,2.909445059527033361e+00,7.499073549489262192e+00
4.374000000000000199e+01,4.585414965789455977e+01,2.496786512777137812e+00,7.499109296196103003e+00
4.389999999999999858e+01,4.353427964210486323e+01,2.484535479828555271e+00,7.499106080363501015e+00
4.353000000000000114e+01,4.433133799285771914e+01,2.832980917456929149e+00,7.499050071348388968e+00
4.325000000000000000e+01,4.442511217218059727e+01,3.132373623586627964e+00,7.499021122802279393e+00
4.352000000000000313e+01,4.552410209379637251e+01,2.760310879937481587e+00,7.499031754207890366e+00
4.371000000000000085e+01,4.562215575789483779e+01,2.545819402639164064e+00,7.499045506542635131e+00
4.357999999999999829e+01,4.470248043665328197e+01,2.752326832205323370e+00,7.499010672672696387e+00
4.346999999999999886e+01,4.415006473364601902e+01,2.911240704929036305e+00,7.498979109832459855e+00
4.357999999999999829e+01,4.608487474116615346e+01,2.655438990444396463e+00,7.498991711835522267e+00
4.378999999999999915e+01,4.483552387781868731e+01,2.513524957867275589e+00,7.499000528210629568e+00
4.363000000000000256e+01,4.373260185620274143e+01,2.765656115779089763e+00,7.498955526516875025e+00
4.343999999999999773e+01,4.495992951033814222e+01,2.887255595453972923e+00,7.498921105513639773e+00
4.359000000000000341e+01,4.502788881259463238e+01,2.718582085557378569e+00,7.498929879075411087e+00
4.374000000000000199e+01,4.437084869943527821e+01,2.600719520018314412e+00,7.498931455540086333e+00
4.389999999999999858e+01,4.372391970056448685e+01,2.471221157192095230e+00,7.498935164048933899e+00
4.367000000000000171e+01,4.378771038552633854e+01,2.718073821038443416e+00,7.498880158157215092e+00
4.353000000000000114e+01,4.348416507688016708e+01,2.892326919255458151e+00,7.498841381095370906e+00
4.367999999999999972e+01,4.583725345375998472e+01,2.563501249815815619e+00,7.498859927378639156e+00
4.382999999999999829e+01,4.426242030281890294e+01,2.509961512405503914e+00,7.498855515474954103e+00
4.360999999999999943e+01,4.392902700451067943e+01,2.773722885692339268e+00,7.498796775259115144e+00
4.364999999999999858e+01,4.416642384642910457e+01,2.713373508970057912e+00,7.498783799615615919e+00
4.375999999999999801e+01,4.469252453684112680e+01,2.556300146104698801e+00,7.498785437933118025e+00
4.375999999999999801e+01,4.413823394154199065e+01,2.595144201129413464e+00,7.498759929024648940e+00
4.359000000000000341e+01,4.297571695319468432e+01,2.862377684029231872e+00,7.498701044918556491e+00
4.356000000000000227e+01,4.526725663195489346e+01,2.734555346721418090e+00,7.498687038048448272e+00
4.374000000000000199e+01,4.513511244924742982e+01,2.547123489746627722e+00,7.498691527006235091e+00
4.385000000000000142e+01,4.351405002236781172e+01,2.540532098376983683e+00,7.498677225517317524e+00
4.370000000000000284e+01,4.350292385469838052e+01,2.705215223164019189e+00,7.498618308226724594e+00
4.353999999999999915e+01,4.424473817142907706e+01,2.828057778668799482e+00,7.498570309909720066e+00
4.364999999999999858e+01,4.622722119586409661e+01,2.568914027413062851e+00,7.498574169641154086e+00
4.372999999999999687e+01,4.434859636409782269e+01,2.613153853639064383e+00,7.498544409347529083e+00
4.359000000000000341e+01,4.433287781898415858e+01,2.767232184680558316e+00,7.498489751860242691e+00
4.364000000000000057e+01,4.508984156109097086e+01,2.659541339013839600e+00,7.498473961375264452e+00
4.388000000000000256e+01,4.466118845921133129e+01,2.427326108548817807e+00,7.498481088409734596e+00
4.378999999999999915e+01,4.402749950131514822e+01,2.570076787189929934e+00,7.498418942296208201e+00
4.345000000000000284e+01,4.373990925507485628e+01,2.961754948412216315e+00,7.498339718443670421e+00
4.375999999999999801e+01,4.661127600563964535e+01,2.421766762921132354e+00,7.498356492253584804e+00
4.407000000000000028e+01,4.422762762349693588e+01,2.250075934286600354e+00,7.498359945148404648e+00
4.367000000000000171e+01,4.253023663139028798e+01,2.806115263391394166e+00,7.498220658256020243e+00
4.357999999999999829e+01,4.453215842086413545e+01,2.764150918091910825e+00,7.498172884534239913e+00
4.364999999999999858e+01,4.515513018890938213e+01,2.643993688540873244e+00,7.498140842067742895e+00
4.382999999999999829e+01,4.395087528947423294e+01,2.531696772002056228e+00,7.498114855739846263e+00
4.377000000000000313e+01,4.361626737631495132e+01,2.620702475562469047e+00,7.498041783625587264e+00
4.375000000000000000e+01,4.514780800770718372e+01,2.535215959516321949e+00,7.497990849582921946e+00
4.370000000000000284e+01,4.352825830601506141e+01,2.703344250802666604e+00,7.497905606051142868e+00
4.364999999999999858e+01,4.397098418684132781e+01,2.726943626616607830e+00,7.497835169761220442e+00
4.364999999999999858e+01,4.475653202932287655e+01,2.671881287556733042e+00,7.497776556264537540e+00
