Ts (degC),I (a.u.),P (W),q (slm)
3.495000000000000284e+01,2.900992512518811139e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.500000000000000000e+01,2.840870309323321408e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.757999999999999829e+01,4.600221194718010764e+01,3.452941993084506223e+00,3.608312218124238857e+00
3.979999999999999716e+01,4.706222825357196626e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.064000000000000057e+01,4.823857164868466185e+01,3.485333777078921003e+00,3.528424479153405624e+00
4.132999999999999829e+01,4.947457406729251517e+01,3.492150017464786593e+00,3.511613610298438992e+00
4.231000000000000227e+01,4.979913245921118659e+01,3.500000000000000000e+00,4.695968697079189624e+00
4.267000000000000171e+01,5.034815808101513568e+01,3.409908769336892576e+00,7.468600118244970609e+00
4.261999999999999744e+01,4.938461865676655549e+01,3.500000000000000000e+00,7.201997664706085267e+00
4.196000000000000085e+01,4.710669104097751614e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.209000000000000341e+01,5.013881810300693331e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.310000000000000142e+01,4.949459919812044717e+01,2.883645763775714244e+00,7.500000000000000000e+00
4.371999999999999886e+01,4.897261538684161053e+01,2.291721138350335085e+00,7.500000000000000000e+00
4.313000000000000256e+01,4.567813398101560551e+01,3.189837909320254461e+00,7.478212943808743240e+00
4.277000000000000313e+01,4.689872089229259444e+01,3.500000000000000000e+00,7.272415012773770115e+00
4.307000000000000028e+01,4.773368853045190008e+01,3.088183864238853715e+00,7.480889856762469314e+00
4.307999999999999829e+01,4.678425637725607089e+01,3.166356659191210454e+00,7.473786574064936516e+00
4.314000000000000057e+01,4.875302878984954447e+01,2.931898241583406062e+00,7.490182051380514849e+00
4.328000000000000114e+01,4.620546160488657961e+01,2.989317341247868853e+00,7.490951918841414425e+00
4.336999999999999744e+01,4.782615940093910467e+01,2.781124669269981808e+00,7.499137406774135428e+00
4.338000000000000256e+01,4.737239111898441024e+01,2.800686714775711295e+00,7.499729396051259656e+00
4.354999999999999716e+01,4.698022573702948534e+01,2.640492844974112074e+00,7.500000000000000000e+00
4.364999999999999858e+01,4.844076436973741551e+01,2.432117122423965938e+00,7.500000000000000000e+00
4.339999999999999858e+01,4.599860013101545775e+01,2.871166713816086791e+00,7.500000000000000000e+00
4.336999999999999744e+01,4.683958417781889949e+01,2.847273062710851121e+00,7.497298216324258746e+00
4.357000000000000028e+01,4.726033366014976167e+01,2.599309256097259713e+00,7.500000000000000000e+00
4.407000000000000028e+01,4.659874305281874030e+01,2.095104185744407488e+00,7.500000000000000000e+00
4.392999999999999972e+01,4.274988235770747735e+01,2.508311836437567166e+00,7.500000000000000000e+00
4.360000000000000142e+01,4.345889960977419975e+01,2.822543989442313439e+00,7.500000000000000000e+00
4.392999999999999972e+01,4.533424522781906774e+01,2.333752881365901644e+00,7.500000000000000000e+00
4.434000000000000341e+01,4.450363098609090429e+01,1.939700884935348979e+00,7.500000000000000000e+00
4.385000000000000142e+01,4.127910449718044816e+01,2.694897257943372093e+00,7.500000000000000000e+00
4.364000000000000057e+01,4.493217568421133024e+01,2.678805116108317286e+00,7.500000000000000000e+00
4.403999999999999915e+01,4.543395944041284196e+01,2.205856508694416629e+00,7.500000000000000000e+00
4.409000000000000341e+01,4.260565854699316191e+01,2.341683683878013955e+00,7.500000000000000000e+00
4.360000000000000142e+01,4.336923245469834853e+01,2.827826364180390684e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.588921334661709750e+01,2.668694764713469780e+00,7.500000000000000000e+00
4.392000000000000171e+01,4.626393065075146183e+01,2.281148287298599087e+00,7.500000000000000000e+00
4.372999999999999687e+01,4.463283348496189973e+01,2.599613010784545430e+00,7.500000000000000000e+00
4.335999999999999943e+01,4.457535239154210416e+01,3.009468824246215313e+00,7.489524558149523337e+00
4.406000000000000227e+01,4.644687924078885999e+01,2.114871602281422902e+00,7.500000000000000000e+00
4.422999999999999687e+01,4.350791042763109573e+01,2.126461346810143205e+00,7.500000000000000000e+00
4.357000000000000028e+01,4.187797367481197597e+01,2.960656138793022141e+00,7.500000000000000000e+00
4.402000000000000313e+01,4.544511024530118704e+01,2.226024226540331608e+00,7.500000000000000000e+00
4.438000000000000256e+01,4.309070624097744684e+01,1.989647797265723828e+00,7.500000000000000000e+00
