Ts (degC),I (a.u.),P (W),q (slm)
3.621000000000000085e+01,3.435334352368417399e+01,3.496263835427983135e+00,3.501467716028643817e+00
3.960999999999999943e+01,4.646953316278260360e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.171000000000000085e+01,5.155796374567598406e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.207000000000000028e+01,4.833218322236774611e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.232000000000000028e+01,5.015678109868467516e+01,3.500000000000000000e+00,5.072958906135092150e+00
4.275000000000000000e+01,5.073778090206833014e+01,3.130776869668684625e+00,7.486344126633834861e+00
4.227000000000000313e+01,5.016293547575139655e+01,3.495492062769557595e+00,4.754101632166708669e+00
4.190999999999999659e+01,4.914088265864614158e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.252000000000000313e+01,4.979110811729270125e+01,3.458136502400304124e+00,6.912626766429380787e+00
4.336999999999999744e+01,4.933729056090281517e+01,2.619348558437112118e+00,7.500000000000000000e+00
4.328999999999999915e+01,4.868278315376007725e+01,2.765140017994062838e+00,7.500000000000000000e+00
4.297999999999999687e+01,4.747794435225610243e+01,3.198315307953433440e+00,7.474716854108066855e+00
4.313000000000000256e+01,4.763625572424741961e+01,3.032169588085252165e+00,7.485751496777954372e+00
4.331000000000000227e+01,4.806381000620261545e+01,2.811230391920154226e+00,7.500000000000000000e+00
4.353000000000000114e+01,4.786919569342151703e+01,2.602796166894581376e+00,7.500000000000000000e+00
4.367999999999999972e+01,4.671032994078918676e+01,2.516271749738521635e+00,7.500000000000000000e+00
4.357999999999999829e+01,4.520056121898414148e+01,2.727788859134038901e+00,7.500000000000000000e+00
4.335000000000000142e+01,4.512721375714311733e+01,2.985073177771784714e+00,7.496795739564058536e+00
4.365999999999999659e+01,4.809247294567594366e+01,2.444713191901844773e+00,7.500000000000000000e+00
4.385000000000000142e+01,4.653889678646591221e+01,2.340911143631630775e+00,7.500000000000000000e+00
4.353000000000000114e+01,4.552874128195495018e+01,2.760161173896754860e+00,7.500000000000000000e+00
4.314000000000000057e+01,4.555585700413606531e+01,3.186267874298086333e+00,7.475431263446786545e+00
4.349000000000000199e+01,4.660204197631505707e+01,2.731494565952921061e+00,7.500000000000000000e+00
4.386999999999999744e+01,4.704580754774364237e+01,2.284420445674371081e+00,7.500000000000000000e+00
4.382999999999999829e+01,4.460708266466235017e+01,2.492751154504587952e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.360057593214312277e+01,2.988580703378771020e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.589301733308246867e+01,2.833833823265392127e+00,7.500000000000000000e+00
4.392000000000000171e+01,4.649268475657822108e+01,2.266493590274259784e+00,7.500000000000000000e+00
4.392000000000000171e+01,4.462705605733165015e+01,2.392255308377885026e+00,7.500000000000000000e+00
4.346999999999999886e+01,4.305733759285740092e+01,2.991928758995825444e+00,7.500000000000000000e+00
4.350999999999999801e+01,4.630929023289451862e+01,2.728544535780857316e+00,7.500000000000000000e+00
4.407000000000000028e+01,4.623928604154206568e+01,2.118579721155016138e+00,7.500000000000000000e+00
4.370000000000000284e+01,4.322826814793206296e+01,2.727686533337939423e+00,7.500000000000000000e+00
4.313000000000000256e+01,4.483972698721778727e+01,3.244441865553290505e+00,7.469557408726554826e+00
4.381000000000000227e+01,4.698193063251951429e+01,2.353547916653828231e+00,7.500000000000000000e+00
4.406000000000000227e+01,4.629141839492549337e+01,2.125656297357322533e+00,7.500000000000000000e+00
4.353000000000000114e+01,4.265596528251978015e+01,2.952492827630618155e+00,7.500000000000000000e+00
4.332999999999999829e+01,4.710878027706828419e+01,2.871484785163676001e+00,7.486811127717153624e+00
4.417000000000000171e+01,4.692400853289442608e+01,1.961970951439885091e+00,7.500000000000000000e+00
4.424000000000000199e+01,4.291738094830884620e+01,2.155337016136986694e+00,7.500000000000000000e+00
4.306000000000000227e+01,4.269085897443531508e+01,3.465541485685028178e+00,7.459821656222118236e+00
4.378999999999999915e+01,4.796874483665354916e+01,2.308219089745490837e+00,7.500000000000000000e+00
4.439999999999999858e+01,4.501239446616559547e+01,1.838091433574673195e+00,7.500000000000000000e+00
4.382000000000000028e+01,4.011517086879709382e+01,2.804912850715718164e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.541900957650342718e+01,2.864023270691495426e+00,7.493877587203543911e+00
4.414000000000000057e+01,4.564957205413594465e+01,2.080132433366626454e+00,7.500000000000000000e+00
4.446000000000000085e+01,4.313229632876006292e+01,1.898635457983048891e+00,7.500000000000000000e+00
4.336999999999999744e+01,3.937046907011273333e+01,3.348575661808513626e+00,7.485619143422050925e+00
4.402000000000000313e+01,4.708437464887222745e+01,2.114681489670700909e+00,7.500000000000000000e+00
4.468999999999999773e+01,4.499692722067577222e+01,1.552736747634187120e+00,7.500000000000000000e+00
4.339000000000000057e+01,3.772499362387218014e+01,3.437278732875713061e+00,7.485873626577403073e+00
4.372999999999999687e+01,4.643102272725631963e+01,2.476674715622779299e+00,7.500000000000000000e+00
4.447999999999999687e+01,4.654409277575185655e+01,1.645810763934740351e+00,7.500000000000000000e+00
4.346999999999999886e+01,3.925883044398492672e+01,3.245668667038838606e+00,7.492002297924932996e+00
4.379999999999999716e+01,4.678935135394812050e+01,2.375343855313328145e+00,7.500000000000000000e+00
4.414999999999999858e+01,4.609961765244324283e+01,2.037648629852089499e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.174802466823319946e+01,2.945721742323987868e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.519759736165357111e+01,2.712898237185054295e+00,7.500000000000000000e+00
4.402000000000000313e+01,4.731022156297007086e+01,2.098347887520785271e+00,7.500000000000000000e+00
4.402000000000000313e+01,4.322914523289460220e+01,2.373574169639293352e+00,7.500000000000000000e+00
4.350000000000000000e+01,4.437124782236766407e+01,2.867106932888893844e+00,7.491773822825009255e+00
4.367999999999999972e+01,4.619489223834544589e+01,2.546435954337410656e+00,7.500000000000000000e+00
4.424000000000000199e+01,4.657517262631530031e+01,1.906078823423520197e+00,7.500000000000000000e+00
4.370000000000000284e+01,4.095071009041359389e+01,2.878074607728713374e+00,7.500000000000000000e+00
4.382999999999999829e+01,4.505566727593945586e+01,2.458352154567879921e+00,7.500000000000000000e+00
4.400000000000000000e+01,4.493561503984992100e+01,2.279772703451468985e+00,7.500000000000000000e+00
4.388000000000000256e+01,4.421308427368484217e+01,2.460108259039153644e+00,7.500000000000000000e+00
4.357000000000000028e+01,4.527498039981200861e+01,2.728668565385193645e+00,7.491887316909595640e+00
4.375000000000000000e+01,4.526601245244392402e+01,2.531716515904204989e+00,7.500000000000000000e+00
4.396000000000000085e+01,4.622978593026343930e+01,2.236249641158569279e+00,7.500000000000000000e+00
4.384000000000000341e+01,4.338567040657814289e+01,2.559689356837171026e+00,7.500000000000000000e+00
4.365999999999999659e+01,4.476710878702957785e+01,2.664058638644302590e+00,7.486751694554552472e+00
4.360999999999999943e+01,4.508069129830870025e+01,2.697766440477622929e+00,7.478391166005987856e+00
4.378000000000000114e+01,4.579106359736778131e+01,2.463285009019248850e+00,7.489624298957235915e+00
4.402000000000000313e+01,4.519012489342166816e+01,2.240399047962206680e+00,7.500000000000000000e+00
4.397999999999999687e+01,4.332685397593912313e+01,2.409907367176455928e+00,7.500000000000000000e+00
4.397999999999999687e+01,4.293644276390944015e+01,2.436207786231974204e+00,7.500000000000000000e+00
4.460000000000000142e+01,4.473990929830902274e+01,1.635959361695218606e+00,7.500000000000000000e+00
4.432000000000000028e+01,3.821103419774429710e+01,2.381642262188667480e+00,7.500000000000000000e+00
4.390999999999999659e+01,4.295089002857164218e+01,2.511966015148117126e+00,7.479769225148922729e+00
4.440999999999999659e+01,4.530179554793232199e+01,1.804708989562641142e+00,7.500000000000000000e+00
4.420000000000000284e+01,3.910856312368422749e+01,2.452733451999490111e+00,7.500000000000000000e+00
4.396000000000000085e+01,4.286572409323396471e+01,2.462755409372030524e+00,7.470955999074176290e+00
4.436999999999999744e+01,4.373636395939897881e+01,1.954077445568929816e+00,7.500000000000000000e+00
4.407999999999999829e+01,4.095023951954879493e+01,2.460165194789826870e+00,7.475951824679119007e+00
4.393999999999999773e+01,4.380296575093932177e+01,2.421428953656842964e+00,7.454464521236339181e+00
4.429999999999999716e+01,4.507179233514958128e+01,1.940774615196076081e+00,7.481284853357132114e+00
4.371000000000000085e+01,4.152375453609007394e+01,2.827467617919317888e+00,7.428366761045986699e+00
4.388000000000000256e+01,4.619186186052657206e+01,2.326125234361500205e+00,7.433118317681192799e+00
4.446000000000000085e+01,4.422807109342149090e+01,1.822002161549926669e+00,7.485134147671544724e+00
4.375999999999999801e+01,3.927203106541351474e+01,2.924348768052557723e+00,7.424060235863532142e+00
4.372999999999999687e+01,4.611146569060093015e+01,2.496085706452039865e+00,7.407003178371217800e+00
4.446000000000000085e+01,4.521334547142902949e+01,1.755494081380862159e+00,7.471352586867240575e+00
4.375999999999999801e+01,3.974309467443603694e+01,2.892512564717682366e+00,7.411092524826690564e+00
4.385000000000000142e+01,4.581445909962372554e+01,2.384346359518165315e+00,7.406212318849060949e+00
4.449000000000000199e+01,4.505007216372110435e+01,1.733504791056112104e+00,7.461841942427948737e+00
4.392999999999999972e+01,3.832158878627812015e+01,2.801721348840715997e+00,7.416285490994626528e+00
4.370000000000000284e+01,4.568338170845788682e+01,2.557721672511817701e+00,7.379768980712021254e+00
4.443999999999999773e+01,4.575967085413566338e+01,1.740454358922065570e+00,7.443573897048585408e+00
4.403000000000000114e+01,3.900798660845872945e+01,2.645620660249053735e+00,7.411836378580713536e+00
4.374000000000000199e+01,4.338548809116575455e+01,2.668688677418470157e+00,7.374353570215525622e+00
4.443999999999999773e+01,4.545166867274345890e+01,1.761145081387734068e+00,7.431270324226229462e+00
4.406000000000000227e+01,3.987814851259400228e+01,2.553947797408426368e+00,7.400397927403340681e+00
4.371000000000000085e+01,4.328550286917209178e+01,2.708275925937849493e+00,7.358903794780388807e+00
4.422999999999999687e+01,4.496591389060077404e+01,2.024283314631915687e+00,7.400225169543085180e+00
4.420000000000000284e+01,4.271545184548819662e+01,2.208921327231262666e+00,7.396442647196586506e+00
4.371999999999999886e+01,4.224413693684159199e+01,2.767442548740859820e+00,7.348916167680783929e+00
4.400999999999999801e+01,4.698100920056432983e+01,2.129771144188818521e+00,7.364472025062362093e+00
4.428000000000000114e+01,4.283413917969827622e+01,1.500000000000000000e+00,7.447414319761106682e+00
4.339999999999999858e+01,3.654650679078940811e+01,2.303718904210517948e+00,7.060387478513856507e+00
4.307000000000000028e+01,4.258784830206841576e+01,1.953116410854296214e+00,6.866838760552378851e+00
4.317000000000000171e+01,4.052601126203002480e+01,1.699019478906886871e+00,6.943395389200995638e+00
4.286999999999999744e+01,3.806315668759399529e+01,1.776191590306985812e+00,6.774556464013341106e+00
4.256000000000000227e+01,3.817341070206770581e+01,1.733079481885833939e+00,6.758220358869583499e+00
4.224000000000000199e+01,3.828901099285707943e+01,1.700529076874442991e+00,6.743899143538932606e+00
4.228999999999999915e+01,3.795654898139093802e+01,1.602348901734847786e+00,6.814324273686125366e+00
4.217000000000000171e+01,3.744530206973691122e+01,1.537191476466176043e+00,6.848265599147161709e+00
4.193999999999999773e+01,3.722769876879701911e+01,3.562797083206270532e-02,4.800557622867654880e-316
-1.999849850092607628e+00,0.000000000000000000e+00,3.194505577883989811e-01,4.802708587063389331e-316
1.793595557883662206e+00,0.000000000000000000e+00,-5.504830391747830287e-01,4.806099063151410301e-316
1.002033881516931402e+00,0.000000000000000000e+00,-7.452860597325938752e-01,4.846116008949451233e-316
-2.034553081994122881e+00,0.000000000000000000e+00,-1.325792391293777461e-01,4.796184549023184838e-316
6.893476436202993218e-01,0.000000000000000000e+00,3.709603545973954031e-01,4.893206393785872124e-316
6.796488325667360275e-01,0.000000000000000000e+00,-1.191636578648976652e+00,4.848263811125052300e-316
-6.035549474282948523e-01,0.000000000000000000e+00,-7.109318821507062403e-01,4.855776770961972631e-316
-1.001453269673547419e+00,1.192019903174284146e+01,-1.690299415747485989e-01,5.325090913704122743e-316
9.999755091721109768e-01,-3.229237019204956205e+00,-3.799144631312691422e-01,3.299405165149311646e-316
-2.007538507098740155e+00,2.332014933679578661e+01,3.562797083206259430e-02,4.916031436118704368e-316
-5.427625324701125242e-01,3.083854650743931280e+00,-4.549717081597438040e-01,4.849541267258939427e-316
2.049899325638313563e+00,-1.190388943285590528e+01,-3.225525947540572314e-01,4.795707874488077204e-316
1.000000000000000000e+00,0.000000000000000000e+00,-7.452860597325927650e-01,5.527928181220438156e-316
3.213643521900305444e+01,0.000000000000000000e+00,-1.325792391293773020e-01,4.846079645717917317e-316
2.838255381577728387e-01,0.000000000000000000e+00,3.709603545973952365e-01,4.855366498849666060e-316
-7.366657992431921986e-01,0.000000000000000000e+00,-1.191636578648976652e+00,4.237096702169096865e-316
-1.043904184311856165e+00,0.000000000000000000e+00,-7.109318821507062403e-01,4.856278741658147338e-316
-1.537638773660479456e-03,0.000000000000000000e+00,-1.690299415747485989e-01,4.147768052390932798e-316
-3.724781999938264754e-02,0.000000000000000000e+00,-3.799144631312691422e-01,4.888633322167965546e-316
1.084097561665625209e+00,0.000000000000000000e+00,3.562797083206270532e-02,3.520080178743079424e-316
2.180247342705238789e-01,0.000000000000000000e+00,3.193936479518068028e-01,4.804678525606487549e-316
-6.300056236653347463e-01,0.000000000000000000e+00,-5.504819002054489596e-01,4.896918605422464914e-316
3.544074712003985606e-01,0.000000000000000000e+00,-7.452860597325936531e-01,4.795835145798445909e-316
3.293984279810779348e-01,0.000000000000000000e+00,-1.325792391293777461e-01,4.846041701476316710e-316
-2.189712437793861766e-01,0.000000000000000000e+00,3.709603545973951810e-01,4.806146493453411061e-316
-1.846861987011571282e-01,0.000000000000000000e+00,-1.191636578648976652e+00,4.842047279542819400e-316
6.516099575036431689e-03,0.000000000000000000e+00,-7.109318821507060182e-01,4.853675608583338978e-316
