Ts (degC),I (a.u.),P (W),q (slm)
3.485999999999999943e+01,2.835290225808265774e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.474000000000000199e+01,2.924182540375947426e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.679999999999999716e+01,4.811848492048840598e+01,3.462111051225337910e+00,3.585698603403621121e+00
3.999000000000000199e+01,4.713120014548867687e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.035000000000000142e+01,4.887955815056413655e+01,3.483237615824948730e+00,3.533594234024793668e+00
4.092999999999999972e+01,4.874037757838294027e+01,3.488225731073749891e+00,3.521292063541643369e+00
4.175999999999999801e+01,4.976924751372104794e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.240999999999999659e+01,4.990581900451089581e+01,3.495390313544733729e+00,5.729316347260166253e+00
4.270000000000000284e+01,5.001954933045156082e+01,3.381139622060310934e+00,7.469765905025372632e+00
4.210000000000000142e+01,4.825442816221790565e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.200999999999999801e+01,4.926876706635395209e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.267000000000000171e+01,5.019996767819493755e+01,3.391387764406442074e+00,7.466681546878340292e+00
4.339999999999999858e+01,4.932659554454898654e+01,2.589408075357764183e+00,7.500000000000000000e+00
4.317000000000000171e+01,4.863467159436120113e+01,2.894060747036909742e+00,7.498420825275244894e+00
4.285000000000000142e+01,4.818309356109070762e+01,3.270035808351575035e+00,7.469669538246921370e+00
4.281000000000000227e+01,4.803259957838361771e+01,3.328183450069879257e+00,7.464366203767850649e+00
4.304999999999999716e+01,4.747843463289454746e+01,3.132056865481176899e+00,7.477525429743023366e+00
4.315999999999999659e+01,4.704604160131528090e+01,3.060326172068467354e+00,7.481484065021589913e+00
4.325000000000000000e+01,4.830432099248091760e+01,2.858471151119374554e+00,7.495264097841534578e+00
4.352000000000000313e+01,4.740777262781860912e+01,2.644788944004814901e+00,7.500000000000000000e+00
4.360999999999999943e+01,4.697592407876017262e+01,2.575064915859619052e+00,7.500000000000000000e+00
4.350000000000000000e+01,4.612280620206832538e+01,2.753257859863444068e+00,7.500000000000000000e+00
4.338000000000000256e+01,4.636294270263108785e+01,2.868671690690828946e+00,7.499182257595648160e+00
4.347999999999999687e+01,4.739613154229267167e+01,2.689137169907468206e+00,7.500000000000000000e+00
4.370000000000000284e+01,4.701375699078938197e+01,2.473402318349701368e+00,7.500000000000000000e+00
4.367999999999999972e+01,4.596590161522474460e+01,2.565954082972701222e+00,7.500000000000000000e+00
4.336999999999999744e+01,4.500091105883468146e+01,2.971190281850970116e+00,7.496676472588246654e+00
4.364999999999999858e+01,4.637579101184147845e+01,2.571053497291631018e+00,7.500000000000000000e+00
4.400000000000000000e+01,4.618739266917231134e+01,2.199544944190736206e+00,7.500000000000000000e+00
4.379999999999999716e+01,4.387206329266940941e+01,2.575143598803015799e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.435330700018838712e+01,2.937674629156075135e+00,7.500000000000000000e+00
4.371999999999999886e+01,4.652798989003749597e+01,2.483573029585631531e+00,7.500000000000000000e+00
4.400000000000000000e+01,4.519608956390935361e+01,2.266035168980097492e+00,7.500000000000000000e+00
4.381000000000000227e+01,4.384634450075152756e+01,2.565512982088187233e+00,7.500000000000000000e+00
4.364000000000000057e+01,4.429114976278266624e+01,2.721977417982000436e+00,7.500000000000000000e+00
4.393999999999999773e+01,4.553529231823392820e+01,2.308694871348231814e+00,7.500000000000000000e+00
4.415999999999999659e+01,4.414283863759465021e+01,2.161077787685425022e+00,7.500000000000000000e+00
4.354999999999999716e+01,4.256386397030071578e+01,2.936963030905872074e+00,7.500000000000000000e+00
4.359000000000000341e+01,4.688206366917254542e+01,2.601637399956269636e+00,7.500000000000000000e+00
4.413000000000000256e+01,4.581305970563978036e+01,2.081017433080814882e+00,7.500000000000000000e+00
4.400999999999999801e+01,4.278685050338322782e+01,2.416768415833788097e+00,7.500000000000000000e+00
