Ts (degC),I (a.u.),P (W),q (slm)
3.502000000000000313e+01,2.876320309624061267e+01,3.500000000000000000e+00,3.500000000000000000e+00
3.714000000000000057e+01,4.527862670808172396e+01,3.460993563644960247e+00,3.588454658955849919e+00
4.064999999999999858e+01,4.756697093966228351e+01,3.484951761445183482e+00,3.529366642920490627e+00
4.070000000000000284e+01,4.771327905902307265e+01,3.485501521803646696e+00,3.528010770949345343e+00
4.127000000000000313e+01,4.947869094642903320e+01,3.491643118615546548e+00,3.512863773085388885e+00
4.189999999999999858e+01,4.991285539398415239e+01,3.500000000000000000e+00,3.500000000000000000e+00
4.239999999999999858e+01,4.967633317330874831e+01,3.497530779767102249e+00,5.496619404397772080e+00
4.293999999999999773e+01,4.992270535375995877e+01,3.003813888581533753e+00,7.495052259191563593e+00
4.263000000000000256e+01,4.824946129905961811e+01,3.472001729226026789e+00,6.773799703019916407e+00
4.240999999999999659e+01,4.814740655075166842e+01,3.493710317664175946e+00,4.738642288007918424e+00
4.260999999999999943e+01,5.036255853496180634e+01,3.500000000000000000e+00,7.458519297081913635e+00
4.289000000000000057e+01,4.985080656033797908e+01,3.073576051951124377e+00,7.486289391297438200e+00
4.314999999999999858e+01,4.731207674548841169e+01,3.034280402081579453e+00,7.487468438083586086e+00
4.317000000000000171e+01,4.675159974473734792e+01,3.067505534044678406e+00,7.483679005747559287e+00
4.314999999999999858e+01,4.798503989266927050e+01,2.981891667683651548e+00,7.488983866268558387e+00
4.339000000000000057e+01,4.735061181823380849e+01,2.791478613713801238e+00,7.500000000000000000e+00
4.339000000000000057e+01,4.697649566221810602e+01,2.816640701081039921e+00,7.500000000000000000e+00
4.367000000000000171e+01,4.713065812669196220e+01,2.498861846515000540e+00,7.500000000000000000e+00
4.367999999999999972e+01,4.613007418139006433e+01,2.555300938716812631e+00,7.500000000000000000e+00
4.361999999999999744e+01,4.633749492011315851e+01,2.607063208105264707e+00,7.500000000000000000e+00
4.353000000000000114e+01,4.571179334830884500e+01,2.747962452439765890e+00,7.500000000000000000e+00
4.343999999999999773e+01,4.570127571992549775e+01,2.847361115096088469e+00,7.500000000000000000e+00
4.374000000000000199e+01,4.811549396221813168e+01,2.355148539092333237e+00,7.500000000000000000e+00
4.403999999999999915e+01,4.575883318872119787e+01,2.184797277932259529e+00,7.500000000000000000e+00
4.377000000000000313e+01,4.392392956409815952e+01,2.604805697231380002e+00,7.500000000000000000e+00
4.374000000000000199e+01,4.465339817086389473e+01,2.588416492091614174e+00,7.500000000000000000e+00
4.414000000000000057e+01,4.458522206109114450e+01,2.153914632735884016e+00,7.500000000000000000e+00
4.409000000000000341e+01,4.281817426240642988e+01,2.327886060791651612e+00,7.500000000000000000e+00
4.361999999999999744e+01,4.232862288496183822e+01,2.876624266441391242e+00,7.500000000000000000e+00
4.407999999999999829e+01,4.621503070037659455e+01,2.109473202104501510e+00,7.500000000000000000e+00
4.457999999999999829e+01,4.305186073928607016e+01,1.774001890291885486e+00,7.500000000000000000e+00
